"rules","support","confidence","lift"
"{Instant food products,soda} => {hamburger meat}",0.00122013218098627,0.631578947368421,18.9956542732979
"{popcorn,soda} => {salty snack}",0.00122013218098627,0.631578947368421,16.6977928692699
"{baking powder,flour} => {sugar}",0.00101677681748856,0.555555555555556,16.4080747414081
"{ham,processed cheese} => {white bread}",0.00193187595322827,0.633333333333333,15.0454911433172
"{Instant food products,whole milk} => {hamburger meat}",0.00152516522623284,0.5,15.0382262996942
"{curd,other vegetables,whipped/sour cream,yogurt} => {cream cheese}",0.00101677681748856,0.588235294117647,14.8340874811463
"{domestic eggs,processed cheese} => {white bread}",0.00111845449923742,0.523809523809524,12.4436392914654
"{other vegetables,tropical fruit,white bread,yogurt} => {butter}",0.00101677681748856,0.666666666666667,12.0305810397554
"{hamburger meat,whipped/sour cream,yogurt} => {butter}",0.00101677681748856,0.625,11.2786697247706
"{domestic eggs,other vegetables,tropical fruit,whole milk,yogurt} => {butter}",0.00101677681748856,0.625,11.2786697247706
"{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,11.2352693602694
"{cream cheese,other vegetables,whipped/sour cream,yogurt} => {curd}",0.00101677681748856,0.588235294117647,11.0406376290974
"{hard cheese,whipped/sour cream,yogurt} => {butter}",0.00101677681748856,0.588235294117647,10.61521856449
"{other vegetables,rolls/buns,root vegetables,tropical fruit,whole milk} => {beef}",0.00111845449923742,0.55,10.4830426356589
"{sliced cheese,tropical fruit,whole milk,yogurt} => {butter}",0.00101677681748856,0.555555555555556,10.0254841997961
"{butter,other vegetables,sugar} => {whipped/sour cream}",0.00101677681748856,0.714285714285714,9.9645390070922
"{hard cheese,whipped/sour cream,whole milk} => {butter}",0.00142348754448399,0.538461538461538,9.71700776287932
"{domestic eggs,hard cheese,other vegetables} => {butter}",0.00101677681748856,0.526315789473684,9.49782713664896
"{fruit/vegetable juice,other vegetables,tropical fruit,whipped/sour cream} => {butter}",0.00101677681748856,0.526315789473684,9.49782713664896
"{onions,tropical fruit,yogurt} => {butter}",0.00111845449923742,0.523809523809524,9.45259938837921
"{domestic eggs,other vegetables,tropical fruit,yogurt} => {butter}",0.00111845449923742,0.523809523809524,9.45259938837921
"{butter,pastry,yogurt} => {curd}",0.00101677681748856,0.5,9.38454198473282
"{butter,hard cheese,whole milk} => {whipped/sour cream}",0.00142348754448399,0.666666666666667,9.30023640661939
"{butter,fruit/vegetable juice,other vegetables,tropical fruit} => {whipped/sour cream}",0.00101677681748856,0.666666666666667,9.30023640661939
"{citrus fruit,cream cheese,other vegetables,whole milk} => {domestic eggs}",0.00111845449923742,0.578947368421053,9.12491565452092
"{cream cheese,curd,whole milk,yogurt} => {whipped/sour cream}",0.00111845449923742,0.647058823529412,9.02670004171882
"{hard cheese,other vegetables,tropical fruit} => {butter}",0.00101677681748856,0.5,9.02293577981651
"{napkins,other vegetables,whipped/sour cream,whole milk} => {butter}",0.00101677681748856,0.5,9.02293577981651
"{citrus fruit,cream cheese,whole milk} => {domestic eggs}",0.0016268429079817,0.571428571428571,9.00641025641026
"{frozen fish,other vegetables,tropical fruit} => {pip fruit}",0.00101677681748856,0.666666666666667,8.81272401433692
"{butter,hard cheese,yogurt} => {whipped/sour cream}",0.00101677681748856,0.625,8.71897163120567
"{curd,sugar,yogurt} => {whipped/sour cream}",0.00101677681748856,0.625,8.71897163120567
"{butter,other vegetables,soda,whole milk} => {whipped/sour cream}",0.00101677681748856,0.625,8.71897163120567
"{cream cheese,sugar,whole milk} => {domestic eggs}",0.00111845449923742,0.55,8.66866987179487
"{frozen vegetables,specialty chocolate} => {fruit/vegetable juice}",0.00101677681748856,0.625,8.64539381153305
"{shopping bags,tropical fruit,whipped/sour cream} => {pip fruit}",0.00111845449923742,0.647058823529412,8.55352624920936
"{citrus fruit,grapes,tropical fruit} => {fruit/vegetable juice}",0.00111845449923742,0.611111111111111,8.45327394905454
"{butter,hard cheese,other vegetables} => {whipped/sour cream}",0.00122013218098627,0.6,8.37021276595745
"{butter,sliced cheese,whole milk} => {whipped/sour cream}",0.00122013218098627,0.6,8.37021276595745
"{citrus fruit,fruit/vegetable juice,other vegetables,soda} => {root vegetables}",0.00101677681748856,0.909090909090909,8.34040027137042
"{oil,other vegetables,tropical fruit,whole milk,yogurt} => {root vegetables}",0.00101677681748856,0.909090909090909,8.34040027137042
"{fruit/vegetable juice,grapes,tropical fruit} => {citrus fruit}",0.00111845449923742,0.6875,8.30658783783784
"{domestic eggs,frankfurter,tropical fruit} => {pip fruit}",0.00101677681748856,0.625,8.26192876344086
"{frozen meals,tropical fruit,whole milk,yogurt} => {pip fruit}",0.00101677681748856,0.625,8.26192876344086
"{cream cheese,curd,other vegetables,yogurt} => {whipped/sour cream}",0.00101677681748856,0.588235294117647,8.20609094701711
